EnrollmentID,StudentID,CourseID,FacultyID
1,S1092,C102,F109
2,S1092,C109,F109
3,S1092,C108,F109
4,S1041,C109,F110
5,S1041,C101,F110
6,S1041,C110,F110
7,S1098,C112,F105
8,S1098,C109,F105
9,S1098,C102,F105
10,S1021,C111,F104
11,S1021,C103,F104
12,S1021,C102,F104
13,S1019,C110,F102
14,S1019,C108,F102
15,S1019,C113,F102
16,S1019,C104,F102
17,S1087,C104,F104
18,S1087,C102,F104
19,S1097,C109,F106
20,S1097,C115,F106
21,S1097,C108,F106
22,S1097,C104,F106
23,S1025,C108,F107
24,S1025,C104,F107
25,S1074,C109,F107
26,S1074,C112,F107
27,S1006,C106,F102
28,S1006,C115,F102
29,S1006,C101,F102
30,S1013,C109,F109
31,S1085,C103,F107
32,S1085,C102,F107
33,S1085,C115,F107
34,S1080,C102,F107
35,S1080,C109,F107
36,S1080,C111,F107
37,S1080,C104,F107
38,S1072,C102,F108
39,S1072,C106,F108
40,S1072,C108,F108
41,S1072,C107,F108
42,S1008,C103,F102
43,S1008,C111,F102
44,S1035,C115,F102
45,S1035,C102,F102
46,S1035,C104,F102
47,S1035,C105,F102
48,S1084,C107,F109
49,S1084,C105,F109
50,S1084,C103,F109
51,S1084,C106,F109
52,S1068,C109,F109
53,S1068,C115,F109
54,S1068,C104,F109
55,S1048,C109,F102
56,S1048,C111,F102
57,S1061,C111,F106
58,S1061,C105,F106
59,S1063,C112,F103
60,S1063,C103,F103
61,S1063,C109,F103
62,S1063,C115,F103
63,S1083,C102,F104
64,S1083,C105,F104
65,S1012,C103,F102
66,S1012,C108,F102
67,S1012,C107,F102
68,S1012,C102,F102
69,S1077,C114,F108
70,S1077,C105,F108
71,S1077,C107,F108
72,S1056,C105,F102
73,S1056,C102,F102
74,S1056,C108,F102
75,S1043,C109,F107
76,S1043,C104,F107
77,S1095,C113,F107
78,S1095,C102,F107
79,S1095,C101,F107
80,S1066,C115,F102
81,S1066,C112,F102
82,S1093,C109,F101
83,S1093,C115,F101
84,S1096,C113,F102
85,S1096,C103,F102
86,S1016,C111,F103
87,S1016,C114,F103
88,S1016,C113,F103
89,S1016,C109,F103
90,S1002,C111,F105
91,S1002,C104,F105
92,S1023,C105,F110
93,S1023,C115,F110
94,S1023,C103,F110
95,S1045,C108,F108
96,S1045,C112,F108
97,S1045,C102,F108
98,S1030,C104,F105
99,S1030,C103,F105
100,S1030,C107,F105
101,S1079,C102,F110
102,S1079,C107,F110
103,S1079,C104,F110
104,S1079,C114,F110
105,S1099,C106,F110
106,S1099,C105,F110
107,S1099,C102,F110
108,S1029,C110,F106
109,S1029,C101,F106
110,S1086,C110,F101
111,S1086,C115,F101
112,S1059,C108,F101
113,S1059,C115,F101
114,S1059,C110,F101
115,S1090,C107,F102
116,S1090,C102,F102
117,S1036,C102,F109
118,S1036,C109,F109
119,S1036,C104,F109
120,S1034,C111,F110
121,S1034,C114,F110
122,S1081,C109,F105
123,S1081,C102,F105
124,S1081,C115,F105
125,S1081,C103,F105
126,S1015,C101,F109
