ExamID,EnrollmentID,ExamType
1,1,Unit Test 2
2,2,Unit Test 2
3,3,Viva
4,4,Unit Test 1
5,5,Practical
6,6,Viva
7,7,End Sem
8,8,Practical
9,9,Practical
10,10,Unit Test 2
11,11,Viva
12,12,Unit Test 2
13,13,Practical
14,14,Unit Test 1
15,15,End Sem
16,16,End Sem
17,17,Viva
18,18,Unit Test 1
19,19,Unit Test 2
20,20,Viva
21,21,Practical
22,22,Viva
23,23,Practical
24,24,Unit Test 1
25,25,End Sem
26,26,Unit Test 1
27,27,Unit Test 2
28,28,Practical
29,29,Unit Test 1
30,30,Unit Test 1
31,30,Unit Test 2
32,31,Mid Sem
33,32,End Sem
34,33,Unit Test 2
35,34,Unit Test 1
36,35,Viva
37,36,Practical
38,37,Unit Test 2
39,38,Mid Sem
40,39,Viva
41,40,Mid Sem
42,41,Viva
43,42,Unit Test 2
44,43,Practical
45,44,Viva
46,45,End Sem
47,46,Unit Test 1
48,47,Unit Test 1
49,48,Viva
50,49,Practical
51,50,End Sem
52,51,Unit Test 1
53,52,End Sem
54,53,Unit Test 2
55,54,Unit Test 1
56,55,Mid Sem
57,56,End Sem
58,57,End Sem
59,58,Viva
60,59,End Sem
61,60,Unit Test 1
62,61,Viva
63,62,End Sem
64,63,Mid Sem
65,64,End Sem
66,65,Practical
67,66,Unit Test 1
68,67,End Sem
69,68,Viva
70,69,Practical
71,70,End Sem
72,71,Viva
73,72,Unit Test 2
74,73,Unit Test 1
75,74,Unit Test 2
76,73,Viva
77,75,Viva
78,76,Viva
79,77,Unit Test 1
80,78,End Sem
81,79,End Sem
82,80,Mid Sem
83,81,Practical
84,82,Viva
85,83,Viva
86,84,Unit Test 2
87,85,Practical
88,86,Unit Test 1
89,87,End Sem
90,88,Unit Test 1
91,89,End Sem
92,90,Mid Sem
93,91,Mid Sem
94,92,Unit Test 2
95,93,End Sem
96,94,Mid Sem
97,69,Practical
98,70,End Sem
99,71,Viva
100,95,Mid Sem
101,96,Unit Test 1
102,97,End Sem
103,98,Viva
104,99,Unit Test 1
105,100,Unit Test 2
106,101,Mid Sem
107,102,Unit Test 2
108,103,Unit Test 1
109,104,Practical
110,105,Unit Test 2
111,106,End Sem
112,107,Mid Sem
113,108,Unit Test 1
114,109,Unit Test 1
115,110,End Sem
116,111,Practical
117,112,End Sem
118,113,Unit Test 2
119,114,Practical
120,115,Mid Sem
121,116,Unit Test 1
122,117,Practical
123,118,Practical
124,119,Viva
125,120,End Sem
126,121,Practical
127,122,Mid Sem
128,123,Unit Test 2
129,124,Viva
130,125,End Sem
131,126,Practical
132,127,Practical
133,128,Unit Test 2
134,129,End Sem
135,130,Viva
136,131,Mid Sem
137,132,End Sem
138,133,Practical
139,134,Mid Sem
140,135,Unit Test 1
141,136,Mid Sem
142,137,Unit Test 1
143,138,Unit Test 1
144,139,Practical
145,140,Unit Test 2
146,141,End Sem
147,142,Mid Sem
148,143,Mid Sem
149,144,Unit Test 2
150,145,Mid Sem
151,146,Mid Sem
152,147,Viva
153,148,Unit Test 2
154,149,End Sem
155,150,Unit Test 2
156,151,Viva
157,152,End Sem
158,153,Mid Sem
159,95,Mid Sem
160,96,Unit Test 1
161,97,End Sem
162,154,Unit Test 1
163,155,End Sem
164,156,Unit Test 2
165,157,Practical
166,158,Unit Test 1
167,159,Unit Test 1
168,160,Unit Test 2
169,161,Viva
170,162,End Sem
171,163,End Sem
172,164,Viva
173,165,Viva
174,166,Mid Sem
175,167,Viva
176,168,End Sem
177,169,Mid Sem
178,170,Practical
179,171,Practical
180,172,End Sem
181,173,Mid Sem
182,174,Mid Sem
183,175,Unit Test 2
184,176,Unit Test 1
185,177,Practical
186,178,Viva
187,179,Mid Sem
188,180,Practical
189,181,Viva
190,182,Practical
191,183,Viva
192,184,Unit Test 2
193,185,Practical
194,186,Unit Test 1
195,187,Unit Test 1
196,188,Unit Test 2
197,189,End Sem
198,190,Mid Sem
199,191,Unit Test 2
200,192,Practical
201,193,Practical
202,194,End Sem
203,195,Viva
204,196,End Sem
205,197,Practical
206,198,Practical
207,199,Unit Test 1
208,200,Unit Test 2
209,201,Mid Sem
210,202,Viva
211,203,Practical
212,204,Unit Test 2
213,205,Unit Test 1
214,154,Unit Test 1
215,155,End Sem
216,206,Unit Test 1
217,207,Unit Test 1
218,208,Unit Test 1
219,209,Mid Sem
220,210,Practical
221,211,Unit Test 1
222,212,Mid Sem
223,213,Viva
224,214,Practical
225,215,Practical
226,216,Unit Test 1
227,217,Viva
228,218,Unit Test 2
229,219,Unit Test 1
230,220,End Sem
231,221,End Sem
232,222,Viva
233,223,Unit Test 2
234,224,Unit Test 2
235,225,Practical
236,226,Viva
237,227,Practical
238,228,End Sem
239,229,Viva
240,230,Viva
241,231,Unit Test 2
242,232,Unit Test 2
243,233,Unit Test 1
244,234,Practical
245,235,End Sem
246,236,Viva
247,237,Viva
248,238,Unit Test 1
249,239,Unit Test 1
250,240,Unit Test 1
251,241,Practical
252,242,End Sem
253,243,Mid Sem
254,244,Viva
255,245,Viva
256,246,End Sem
257,247,Mid Sem
258,248,Mid Sem
259,249,Practical
260,250,Viva
261,251,Mid Sem
262,252,Unit Test 2
263,253,Mid Sem
264,254,Mid Sem
265,255,End Sem
266,256,Practical
267,257,Unit Test 2
268,258,Practical
269,259,Mid Sem
270,260,Practical
271,261,Viva
272,262,Unit Test 2
273,263,Practical
274,264,Practical
275,265,Unit Test 2
276,266,Unit Test 1
277,267,Practical
278,268,Unit Test 1
279,269,Practical
280,270,Practical
281,271,Viva
282,272,Practical
283,273,Unit Test 2
284,274,Viva
285,275,Viva
286,276,Viva
287,277,Practical
288,277,End Sem
289,278,End Sem
290,279,Mid Sem
291,280,End Sem
292,1,Unit Test 2
293,2,Unit Test 2
294,3,Viva
295,4,Unit Test 1
296,5,Practical
297,6,Viva
298,7,End Sem
299,8,Practical
300,9,Practical
301,10,Unit Test 2
302,11,Viva
303,12,Unit Test 2
304,13,Practical
305,14,Unit Test 1
306,15,End Sem
307,16,End Sem
308,17,Viva
309,18,Unit Test 1
310,19,Unit Test 2
311,20,Viva
312,21,Practical
313,22,Viva
314,23,Practical
315,24,Unit Test 1
316,25,End Sem
317,26,Unit Test 1
318,27,Unit Test 2
319,28,Practical
320,29,Unit Test 1
321,30,Unit Test 1
322,30,Unit Test 2
323,31,Mid Sem
324,32,End Sem
325,33,Unit Test 2
326,34,Unit Test 1
327,35,Viva
328,36,Practical
329,37,Unit Test 2
330,38,Mid Sem
331,39,Viva
332,40,Mid Sem
333,41,Viva
334,42,Unit Test 2
335,43,Practical
336,44,Viva
337,45,End Sem
338,46,Unit Test 1
339,47,Unit Test 1
340,48,Viva
341,49,Practical
342,50,End Sem
343,51,Unit Test 1
344,52,End Sem
345,53,Unit Test 2
346,54,Unit Test 1
347,55,Mid Sem
348,56,End Sem
349,57,End Sem
350,58,Viva
351,59,End Sem
352,60,Unit Test 1
353,61,Viva
354,62,End Sem
355,63,Mid Sem
356,64,End Sem
357,65,Practical
358,66,Unit Test 1
359,67,End Sem
360,68,Viva
361,69,Practical
362,70,End Sem
363,71,Viva
364,72,Unit Test 2
365,73,Unit Test 1
366,74,Unit Test 2
367,73,Viva
368,75,Viva
369,76,Viva
370,77,Unit Test 1
371,78,End Sem
372,79,End Sem
373,80,Mid Sem
374,81,Practical
375,82,Viva
376,83,Viva
377,84,Unit Test 2
378,85,Practical
379,86,Unit Test 1
380,87,End Sem
381,88,Unit Test 1
382,89,End Sem
383,90,Mid Sem
384,91,Mid Sem
385,92,Unit Test 2
386,93,End Sem
387,94,Mid Sem
388,69,Practical
389,70,End Sem
390,71,Viva
391,95,Mid Sem
392,96,Unit Test 1
393,97,End Sem
394,98,Viva
395,99,Unit Test 1
396,100,Unit Test 2
397,101,Mid Sem
398,102,Unit Test 2
399,103,Unit Test 1
400,104,Practical
401,105,Unit Test 2
402,106,End Sem
403,107,Mid Sem
404,1,Unit Test 2
405,2,Unit Test 2
406,2,Viva
407,4,Unit Test 1
408,5,Practical
409,281,Viva
410,7,End Sem
411,8,Practical
412,282,Practical
413,10,Unit Test 2
414,11,Viva
415,11,Unit Test 3
416,1,Unit Test 2
417,2,Unit Test 2
418,2,Viva
419,4,Unit Test 1
420,5,Practical
421,281,Viva
422,7,End Sem
423,8,Practical
424,282,Practical
425,10,Unit Test 2
426,11,Viva
427,11,Unit Test 3
428,13,Practical
429,14,Unit Test 1
430,15,End Sem
431,283,End Sem
