AttendanceID,ExamID,AttendanceStatus
1,1,Present
2,2,Present
3,3,Late
4,4,Present
5,5,Present
6,6,Absent
7,7,Absent
8,8,Absent
9,9,Late
10,10,Present
11,11,Absent
12,12,Late
13,13,Late
14,14,Absent
15,15,Present
16,16,Present
17,17,Absent
18,18,Present
19,19,Late
20,20,Present
21,21,Late
22,22,Present
23,23,Absent
24,24,Absent
25,25,Late
26,26,On Duty
27,27,Present
28,28,Absent
29,29,On Duty
30,30,Present
31,31,Present
32,32,Absent
33,33,Present
34,34,Absent
35,35,Present
36,36,Present
37,37,Present
38,38,Present
39,39,Present
40,40,Absent
41,41,Present
42,42,Present
43,43,Absent
44,44,Present
45,45,Absent
46,46,Absent
47,47,On Duty
48,48,Present
49,49,On Duty
50,50,Present
51,51,Present
52,52,Late
53,53,Absent
54,54,Absent
55,55,Absent
56,56,Absent
57,57,Late
58,58,Present
59,59,Present
60,60,Present
61,61,Absent
62,62,Absent
63,63,Present
64,64,Absent
65,65,On Duty
66,66,Present
67,67,On Duty
68,68,Absent
69,69,Present
70,70,On Duty
71,71,Late
72,72,Absent
73,73,Absent
74,74,Present
75,75,Absent
76,76,Absent
77,77,Absent
78,78,On Duty
79,79,On Duty
80,80,Present
81,81,Present
82,82,Late
83,83,Absent
84,84,Late
85,85,Present
86,86,Absent
87,87,Absent
88,88,Absent
89,89,Late
90,90,Absent
91,91,Present
92,92,Absent
93,93,Late
94,94,Present
95,95,Present
96,96,Absent
97,97,On Duty
98,98,Late
99,99,Absent
100,100,Present
101,101,Absent
102,102,Absent
103,103,Absent
104,104,Late
105,105,On Duty
106,106,Late
107,107,Absent
108,108,On Duty
109,109,Present
110,110,Absent
111,111,On Duty
112,112,Absent
113,113,Present
114,114,Present
115,115,Present
116,116,Present
117,117,Present
118,118,Late
119,119,Late
120,120,Absent
121,121,Absent
122,122,Present
123,123,On Duty
124,124,Present
125,125,Present
126,126,Present
127,127,Late
128,128,Absent
129,129,Present
130,130,Present
131,131,Absent
132,132,Absent
133,133,Late
134,134,Present
135,135,Late
136,136,Present
137,137,Absent
138,138,Present
139,139,Absent
140,140,Absent
141,141,Present
142,142,Absent
143,143,Late
144,144,Late
145,145,Absent
146,146,Present
147,147,Absent
148,148,Absent
149,149,Late
150,150,On Duty
151,151,On Duty
152,152,Late
153,153,Late
154,154,Present
155,155,On Duty
156,156,Late
157,157,Late
158,158,Absent
159,159,Present
160,160,Absent
161,161,Absent
162,162,Absent
163,163,Present
164,164,Late
165,165,Present
166,166,Absent
167,167,Present
168,168,Late
169,169,On Duty
170,170,Present
171,171,Present
172,172,Present
173,173,Present
174,174,Absent
175,175,On Duty
176,176,Absent
177,177,On Duty
178,178,Absent
179,179,Present
180,180,Absent
181,181,Present
182,182,Absent
183,183,Absent
184,184,Present
185,185,Present
186,186,Late
187,187,Late
188,188,Present
189,189,Present
190,190,Absent
191,191,Present
192,192,Late
193,193,Absent
