ResultID,ExamID,Marks,Grade,ResultStatus
1,1,,,Pending
2,2,43.0,E,Pass
3,3,87.0,A,Pass
4,4,,,Pending
5,5,,,Pending
6,6,,,Pending
7,7,,,Pending
8,8,33.0,F,Fail
9,9,,,Pending
10,10,,,Pending
11,11,,,Pending
12,12,,,Pending
13,13,,,Pending
14,14,,,Pending
15,15,,,Pending
16,16,38.0,F,Fail
17,17,51.0,D,Pass
18,18,,,Pending
19,19,68.0,C,Pass
20,20,,,Pending
21,21,51.0,D,Pass
22,22,,,Pending
23,23,92.0,O,Pass
24,24,,,Pending
25,25,,,Pending
26,26,,,Pending
27,27,,,Pending
28,28,,,Pending
29,29,,,Pending
30,30,,,Pending
31,31,,,Pending
32,32,,,Pending
33,33,,,Pending
34,34,,,Pending
35,35,88.0,A,Pass
36,36,,,Pending
37,37,42.0,E,Pass
38,38,,,Pending
39,39,,,Pending
40,40,67.0,C,Pass
41,41,,,Pending
42,42,79.0,B,Pass
43,43,48.0,E,Pass
44,44,29.0,F,Fail
45,45,,,Pending
46,46,,,Pending
47,47,90.0,O,Pass
48,48,,,Pending
49,49,,,Pending
50,50,,,Pending
51,51,,,Pending
52,52,78.0,B,Pass
53,53,37.0,F,Fail
54,54,,,Pending
55,55,76.0,B,Pass
56,56,,,Pending
57,57,32.0,F,Fail
58,58,,,Pending
59,59,77.0,B,Pass
60,60,52.0,D,Pass
61,61,65.0,C,Pass
62,62,,,Pending
63,63,100.0,O,Pass
64,64,,,Pending
65,65,,,Pending
66,66,,,Pending
67,67,,,Pending
68,68,,,Pending
69,69,,,Pending
70,70,,,Pending
71,71,,,Pending
72,72,,,Pending
73,73,,,Pending
74,74,,,Pending
75,75,,,Pending
76,76,,,Pending
77,77,,,Pending
78,78,67.0,C,Pass
79,79,62.0,C,Pass
80,80,87.0,A,Pass
81,81,,,Pending
82,82,,,Pending
83,83,27.0,F,Fail
84,84,,,Pending
85,85,82.0,A,Pass
86,86,,,Pending
87,87,,,Pending
88,88,,,Pending
89,89,,,Pending
90,90,,,Pending
91,91,48.0,E,Pass
92,92,,,Pending
93,93,,,Pending
94,94,,,Pending
95,95,,,Pending
96,96,52.0,D,Pass
97,97,,,Pending
98,98,,,Pending
99,99,,,Pending
100,100,44.0,E,Pass
101,101,78.0,B,Pass
102,102,47.0,E,Pass
103,103,,,Pending
104,104,,,Pending
105,105,,,Pending
106,106,,,Pending
107,107,51.0,D,Pass
108,108,,,Pending
109,109,49.0,E,Pass
110,110,,,Pending
111,111,,,Pending
112,112,,,Pending
113,113,,,Pending
114,114,,,Pending
115,115,,,Pending
116,116,,,Pending
117,117,,,Pending
118,118,,,Pending
119,119,,,Pending
120,120,44.0,E,Pass
121,121,,,Pending
122,122,,,Pending
123,123,,,Pending
124,124,,,Pending
125,125,,,Pending
126,126,,,Pending
127,127,,,Pending
128,128,,,Pending
129,129,,,Pending
130,130,,,Pending
131,131,36.0,F,Fail
132,132,,,Pending
133,133,,,Pending
134,134,,,Pending
135,135,97.0,O,Pass
136,136,,,Pending
137,137,52.0,D,Pass
138,138,,,Pending
139,139,74.0,B,Pass
140,140,,,Pending
141,141,,,Pending
142,142,,,Pending
143,143,84.0,A,Pass
144,144,,,Pending
145,145,,,Pending
146,146,,,Pending
147,147,,,Pending
148,148,60.0,C,Pass
149,149,61.0,C,Pass
150,150,,,Pending
151,151,40.0,E,Pass
152,152,,,Pending
153,153,,,Pending
154,154,82.0,A,Pass
155,155,,,Pending
156,156,,,Pending
157,157,,,Pending
158,158,56.0,D,Pass
159,159,44.0,E,Pass
160,160,78.0,B,Pass
161,161,47.0,E,Pass
162,162,90.0,O,Pass
163,163,26.0,F,Fail
164,164,,,Pending
165,165,,,Pending
166,166,,,Pending
167,167,,,Pending
168,168,,,Pending
169,169,,,Pending
170,170,,,Pending
171,171,,,Pending
172,172,,,Pending
173,173,,,Pending
174,174,,,Pending
175,175,,,Pending
176,176,,,Pending
177,177,,,Pending
178,178,,,Pending
179,179,,,Pending
180,180,76.0,B,Pass
181,181,,,Pending
182,182,,,Pending
183,183,,,Pending
184,184,,,Pending
185,185,,,Pending
186,186,76.0,B,Pass
187,187,,,Pending
188,188,26.0,F,Fail
189,189,,,Pending
190,190,,,Pending
191,191,47.0,E,Pass
192,192,,,Pending
193,193,78.0,B,Pass
194,194,,,Pending
195,195,,,Pending
196,196,74.0,B,Pass
197,197,,,Pending
198,198,,,Pending
199,199,,,Pending
200,200,,,Pending
201,201,,,Pending
202,202,,,Pending
203,203,,,Pending
204,204,,,Pending
205,205,,,Pending
206,206,,,Pending
207,207,,,Pending
208,208,,,Pending
209,209,61.0,C,Pass
210,210,78.0,B,Pass
211,211,,,Pending
